filter_spec,CC_max_is_a_distance,MF_max_is_a_distance,false_positives,false_negatives,total_mismatches,exact_columns,at_least_99pct,at_least_95pct
original_six,9,1,13,9680,9693,98,113,113
original_six,9,2,13,7264,7277,98,113,114
original_six,9,3,13,4252,4265,99,113,117
original_six,9,4,13,2087,2100,100,114,119
original_six,9,5,13,886,899,100,116,119
original_six,9,6,13,380,393,102,118,121
original_six,9,7,13,114,127,104,120,121
original_six,9,8,13,18,31,106,121,121
original_six,9,9,13,2,15,107,121,121
original_six,9,10,13,0,13,108,121,121
original_six,9,11,13,0,13,108,121,121
original_six,9,12,13,0,13,108,121,121
original_six,9,99,13,0,13,108,121,121
original_six,10,0,13,10819,10832,98,112,112
original_six,10,1,13,9680,9693,98,113,113
original_six,10,2,13,7264,7277,98,113,114
original_six,10,3,13,4252,4265,99,113,117
original_six,10,4,13,2087,2100,100,114,119
original_six,10,5,13,886,899,100,116,119
original_six,10,6,13,380,393,102,118,121
original_six,10,7,13,114,127,104,120,121
original_six,10,8,13,18,31,106,121,121
original_six,10,9,13,2,15,107,121,121
original_six,10,10,13,0,13,108,121,121
original_six,10,11,13,0,13,108,121,121
original_six,10,12,13,0,13,108,121,121
original_six,10,99,13,0,13,108,121,121
original_six,11,0,13,10819,10832,98,112,112
original_six,11,1,13,9680,9693,98,113,113
original_six,11,2,13,7264,7277,98,113,114
original_six,11,3,13,4252,4265,99,113,117
original_six,11,4,13,2087,2100,100,114,119
original_six,11,5,13,886,899,100,116,119
original_six,11,6,13,380,393,102,118,121
original_six,11,7,13,114,127,104,120,121
original_six,11,8,13,18,31,106,121,121
original_six,11,9,13,2,15,107,121,121
original_six,11,10,13,0,13,108,121,121
original_six,11,11,13,0,13,108,121,121
original_six,11,12,13,0,13,108,121,121
original_six,11,99,13,0,13,108,121,121
original_six,12,0,13,10819,10832,98,112,112
original_six,12,1,13,9680,9693,98,113,113
original_six,12,2,13,7264,7277,98,113,114
original_six,12,3,13,4252,4265,99,113,117
original_six,12,4,13,2087,2100,100,114,119
original_six,12,5,13,886,899,100,116,119
original_six,12,6,13,380,393,102,118,121
original_six,12,7,13,114,127,104,120,121
original_six,12,8,13,18,31,106,121,121
original_six,12,9,13,2,15,107,121,121
original_six,12,10,13,0,13,108,121,121
original_six,12,11,13,0,13,108,121,121
original_six,12,12,13,0,13,108,121,121
original_six,12,99,13,0,13,108,121,121
original_six,99,0,13,10819,10832,98,112,112
original_six,99,1,13,9680,9693,98,113,113
original_six,99,2,13,7264,7277,98,113,114
original_six,99,3,13,4252,4265,99,113,117
original_six,99,4,13,2087,2100,100,114,119
original_six,99,5,13,886,899,100,116,119
original_six,99,6,13,380,393,102,118,121
original_six,99,7,13,114,127,104,120,121
original_six,99,8,13,18,31,106,121,121
original_six,99,9,13,2,15,107,121,121
original_six,99,10,13,0,13,108,121,121
original_six,99,11,13,0,13,108,121,121
original_six,99,12,13,0,13,108,121,121
original_six,99,99,13,0,13,108,121,121
best_global_after_qualifier_exclusion,0,0,3,44290,44293,86,91,91
best_global_after_qualifier_exclusion,0,1,3,43151,43154,86,92,92
best_global_after_qualifier_exclusion,0,2,3,40735,40738,86,92,93
best_global_after_qualifier_exclusion,0,3,3,37723,37726,87,92,96
best_global_after_qualifier_exclusion,0,4,3,35558,35561,88,93,98
best_global_after_qualifier_exclusion,0,5,3,34357,34360,88,95,98
best_global_after_qualifier_exclusion,0,6,3,33851,33854,90,97,100
best_global_after_qualifier_exclusion,0,7,3,33585,33588,92,99,100
best_global_after_qualifier_exclusion,0,8,3,33489,33492,94,100,100
best_global_after_qualifier_exclusion,0,9,3,33473,33476,95,100,100
best_global_after_qualifier_exclusion,0,10,3,33471,33474,96,100,100
best_global_after_qualifier_exclusion,0,11,3,33471,33474,96,100,100
best_global_after_qualifier_exclusion,0,12,3,33471,33474,96,100,100
best_global_after_qualifier_exclusion,0,99,3,33471,33474,96,100,100
best_global_after_qualifier_exclusion,1,0,6,35969,35975,87,91,93
best_global_after_qualifier_exclusion,1,1,6,34830,34836,87,92,94
best_global_after_qualifier_exclusion,1,2,6,32414,32420,87,92,95
best_global_after_qualifier_exclusion,1,3,6,29402,29408,88,92,98
best_global_after_qualifier_exclusion,1,4,6,27237,27243,89,93,100
best_global_after_qualifier_exclusion,1,5,6,26036,26042,89,95,100
best_global_after_qualifier_exclusion,1,6,6,25530,25536,91,97,102
best_global_after_qualifier_exclusion,1,7,6,25264,25270,93,99,102
best_global_after_qualifier_exclusion,1,8,6,25168,25174,95,100,102
best_global_after_qualifier_exclusion,1,9,6,25152,25158,96,100,102
best_global_after_qualifier_exclusion,1,10,6,25150,25156,97,100,102
best_global_after_qualifier_exclusion,1,11,6,25150,25156,97,100,102
best_global_after_qualifier_exclusion,1,12,6,25150,25156,97,100,102
best_global_after_qualifier_exclusion,1,99,6,25150,25156,97,100,102
best_global_after_qualifier_exclusion,2,0,10,23355,23365,89,93,100
best_global_after_qualifier_exclusion,2,1,10,22216,22226,89,94,101
best_global_after_qualifier_exclusion,2,2,10,19800,19810,89,94,102
best_global_after_qualifier_exclusion,2,3,10,16788,16798,90,94,105
best_global_after_qualifier_exclusion,2,4,10,14623,14633,91,95,107
best_global_after_qualifier_exclusion,2,5,10,13422,13432,91,97,107
best_global_after_qualifier_exclusion,2,6,10,12916,12926,93,99,109
best_global_after_qualifier_exclusion,2,7,10,12650,12660,95,101,109
best_global_after_qualifier_exclusion,2,8,10,12554,12564,97,102,109
best_global_after_qualifier_exclusion,2,9,10,12538,12548,98,102,109
