kendall_tau,kendall_p,pairwise_concordance,lcs,exact_positions,exact_prefix,duplicate_flips,model,filter,row_order,ancestor_order,unique_keys,table_size,direct_term_count
0.7195592286501377,1.2261888130713202e-31,0.8597796143250689,85,11,3,001,first_direct_occurrence_then_ancestors,exact_all_accessions,GeneID_GO,py2_hash_container_proxy,16357,32768,11939
0.7195592286501377,1.2261888130713202e-31,0.8597796143250689,85,11,3,001,first_direct_occurrence_then_ancestors,exact_all_accessions,GeneID_GO,hash_low15,16357,32768,11939
0.7195592286501377,1.2261888130713202e-31,0.8597796143250689,85,11,3,001,first_direct_occurrence_then_ancestors,exact_historical_mapped_accessions,GeneID_GO,sorted_asc,13302,32768,9031
0.7195592286501377,1.2261888130713202e-31,0.8597796143250689,85,11,3,001,first_direct_occurrence_then_ancestors,exact_historical_mapped_accessions,GeneID_GO,dfs_pre_obo,13302,32768,9031
0.7195592286501377,1.2261888130713202e-31,0.8597796143250689,85,11,3,001,first_direct_occurrence_then_ancestors,exact_historical_mapped_accessions,GeneID_GO,py2_hash_container_proxy,13302,32768,9031
0.7195592286501377,1.2261888130713202e-31,0.8597796143250689,85,11,3,001,first_direct_occurrence_then_ancestors,exact_historical_mapped_accessions,GeneID_GO,hash_low15,13302,32768,9031
0.6942148760330578,1.4526158154109782e-29,0.8471074380165289,84,8,3,001,first_direct_occurrence_then_ancestors,all_evidence_default_rel,source,sorted_asc,20449,32768,16457
0.6942148760330578,1.4526158154109782e-29,0.8471074380165289,84,8,3,001,first_direct_occurrence_then_ancestors,all_evidence_default_rel,source,dfs_pre_obo,20449,32768,16457
0.6942148760330578,1.4526158154109782e-29,0.8471074380165289,84,8,3,001,first_direct_occurrence_then_ancestors,all_evidence_default_rel,source,py2_hash_container_proxy,20449,32768,16457
0.6942148760330578,1.4526158154109782e-29,0.8471074380165289,84,8,3,001,first_direct_occurrence_then_ancestors,all_evidence_default_rel,source,hash_low15,20449,32768,16457
0.6691460055096418,1.3840541004178835e-27,0.8345730027548208,81,11,3,001,first_direct_occurrence_then_ancestors,all_evidence_default_rel,date_accession_GO,sorted_asc,20449,32768,16457
0.6691460055096418,1.3840541004178835e-27,0.8345730027548208,81,11,3,001,first_direct_occurrence_then_ancestors,all_evidence_default_rel,date_accession_GO,dfs_pre_obo,20449,32768,16457
0.6691460055096418,1.3840541004178835e-27,0.8345730027548208,81,11,3,001,first_direct_occurrence_then_ancestors,all_evidence_default_rel,date_accession_GO,py2_hash_container_proxy,20449,32768,16457
0.6691460055096418,1.3840541004178835e-27,0.8345730027548208,81,11,3,001,first_direct_occurrence_then_ancestors,all_evidence_default_rel,date_accession_GO,hash_low15,20449,32768,16457
