version,GO_ID,present_in_C5,C5_XML_order,C5_standard_name,C5_systematic_name
5.2,GO:0031399,1,15481,GO_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS,M15426
5.2,GO:0031982,0,,,
5.2,GO:0032268,0,,,
5.2,GO:0032502,0,,,
5.2,GO:0032879,0,,,
5.2,GO:0032991,0,,,
5.2,GO:0034641,0,,,
5.2,GO:0036211,0,,,
5.2,GO:0042221,0,,,
5.2,GO:0043170,0,,,
5.2,GO:0043226,0,,,
5.2,GO:0043227,0,,,
5.2,GO:0043228,0,,,
5.2,GO:0043229,0,,,
5.2,GO:0043230,0,,,
5.2,GO:0043231,0,,,
5.2,GO:0043232,0,,,
5.2,GO:0043234,0,,,
5.2,GO:0043412,0,,,
5.2,GO:0043933,0,,,
5.2,GO:0044237,0,,,
5.2,GO:0044238,0,,,
5.2,GO:0044260,0,,,
5.2,GO:0044267,0,,,
5.2,GO:0044421,0,,,
5.2,GO:0044422,0,,,
5.2,GO:0044424,0,,,
5.2,GO:0044425,0,,,
5.2,GO:0044428,0,,,
5.2,GO:0044444,0,,,
5.2,GO:0044446,0,,,
5.2,GO:0044464,0,,,
5.2,GO:0044699,0,,,
5.2,GO:0044710,0,,,
5.2,GO:0044763,0,,,
5.2,GO:0044765,0,,,
5.2,GO:0044767,0,,,
5.2,GO:0044822,1,17813,GO_POLY_A_RNA_BINDING,M18908
5.2,GO:0045935,0,,,
5.2,GO:0048518,0,,,
5.2,GO:0048519,0,,,
5.2,GO:0048522,0,,,
5.2,GO:0048523,0,,,
5.2,GO:0048583,0,,,
5.2,GO:0048584,1,12291,GO_POSITIVE_REGULATION_OF_RESPONSE_TO_STIMULUS,M10700
5.2,GO:0050789,0,,,
5.2,GO:0050793,0,,,
5.2,GO:0050794,0,,,
5.2,GO:0050896,0,,,
5.2,GO:0051128,0,,,
5.2,GO:0051171,0,,,
5.2,GO:0051173,0,,,
5.2,GO:0051179,0,,,
5.2,GO:0051234,0,,,
5.2,GO:0051239,0,,,
5.2,GO:0051246,0,,,
5.2,GO:0051252,0,,,
5.2,GO:0051254,0,,,
5.2,GO:0051716,0,,,
5.2,GO:0060255,0,,,
5.2,GO:0065007,0,,,
5.2,GO:0065008,0,,,
5.2,GO:0065009,0,,,
5.2,GO:0070062,0,,,
5.2,GO:0071704,0,,,
5.2,GO:0071840,0,,,
5.2,GO:0080090,0,,,
5.2,GO:0097159,0,,,
5.2,GO:1901360,0,,,
5.2,GO:1901363,0,,,
5.2,GO:1902578,0,,,
5.2,GO:1902589,0,,,
5.2,GO:1903506,0,,,
5.2,GO:1903561,0,,,
5.2,GO:2000112,0,,,
5.2,GO:2001141,0,,,
6.0,GO:0003674,0,,,
6.0,GO:0003676,0,,,
6.0,GO:0003723,1,17735,GO_RNA_BINDING,M19180
6.0,GO:0003824,0,,,
6.0,GO:0005488,0,,,
6.0,GO:0005515,0,,,
6.0,GO:0005575,0,,,
6.0,GO:0005634,0,,,
6.0,GO:0005654,0,,,
6.0,GO:0005737,0,,,
6.0,GO:0005886,0,,,
6.0,GO:0006355,0,,,
6.0,GO:0006464,0,,,
6.0,GO:0006807,0,,,
6.0,GO:0006810,0,,,
