kendall_tau,kendall_p,pairwise_concordance,lcs,exact_positions,exact_prefix,duplicate_flips,mask_bits,table_size
0.01790633608815427,0.77086941455705,0.5089531680440771,22,3,0,011,7,128
-0.0057851239669421475,0.9250358931391347,0.4971074380165289,23,1,0,010,8,256
0.04380165289256198,0.4762093196812718,0.521900826446281,23,1,0,010,9,512
0.09944903581267216,0.10577250356686832,0.549724517906336,30,2,0,010,10,1024
-0.0024793388429752063,0.9678338306410919,0.4987603305785124,27,5,0,011,11,2048
0.005234159779614324,0.9321571939807252,0.5026170798898072,25,1,0,100,12,4096
0.3022038567493113,8.869239715733659e-07,0.6511019283746556,39,1,0,101,13,8192
0.4432506887052341,5.625799690845988e-13,0.721625344352617,57,2,2,101,14,16384
0.7137741046831956,3.701098241920313e-31,0.8568870523415978,86,16,5,001,15,32768
0.4134986225895317,1.7516593023528702e-11,0.7067493112947658,54,0,0,001,16,65536
0.24187327823691454,8.356072087732961e-05,0.6209366391184573,39,1,0,011,17,131072
0.1977961432506887,0.0012951235755768518,0.5988980716253444,32,1,0,011,18,262144
0.16528925619834708,0.007180621616537079,0.5826446280991735,30,1,0,011,19,524288
0.06639118457300275,0.28022218936616305,0.5331955922865014,26,0,0,011,20,1048576
