role,path,sha256,rows_re_read,expected_rows,row_count_matches
human_self_map,/mnt/data/ppi_repro_corrected/batches/B102_final2/derived/B102_gp2protein_human_normalized_20260827T162132Z.tsv.gz,194b925028c418a45e688d46de30ebe6a79a80db5f68634674fdfa3cc6b96395,70625,70625,True
geneid_relevant_subset,/mnt/data/ppi_repro_corrected/batches/B102_final2/derived/B102_gp2protein_geneid_relevant_subset_20260827T162132Z.tsv.gz,9187753eed649d1d72bc0d38764094877b1967d5e7fe7696b292241e1ff12039,25983,25983,True
GPI159_mapping_table,/mnt/data/ppi_repro_corrected/batches/B102_final2/B102_GPI159_UniProt_to_GeneID_mapping_20260827T162132Z.csv.gz,e4be219b97eb80708624985d551d142b5d70ec6306c6614e759956879a6c6f3b,21002,21002,True
