file,bytes,sha256,term_rows,selected_121_GO_IDs_present,candidate_GO_ID_columns_exact,candidate_GO_ID_total_mismatched_gene_label_cells,best_any_term_exact_columns,best_any_term_columns_at_least_99pct,best_any_term_columns_at_least_95pct,closest_any_term_mismatch_gene_count,median_best_any_term_mismatch_gene_count,directly_reproduces_full_GraphSAGE_label_matrix
GO_annotations-9606-direct-allev.tsv,4247863,2bda650477f7a8571f9926480ae7099871c00c46707b14a89b9b8e25f6f8d329,16440,56,0,342145,0,4,7,9,753,0
GO_annotations-9606-direct-expev.tsv,1846292,08d85330226b9d127e4ac004b7fb597f1eb2766798d42d5928424ecf556ac18f,10174,39,0,386784,0,5,11,1,760,0
GO_annotations-9606-inferred-allev.tsv,22907854,c97255b18672a1af321910739a434778cd7730b13a9bb6023dae08666930b2e2,20671,114,0,114692,0,4,8,9,546,0
GO_annotations-9606-inferred-expev.tsv,9132101,e56acc1184324df3e7bb0abafd2678b97eb38925fe57840d75ae7188c8c50ed1,14797,114,0,59520,0,6,74,1,179,0
