universe,procedure,method,N,actual_split_member,mean_f1,sd_f1,q05_f1,median_f1,q95_f1,fraction_f1_ge_0_99,fraction_f1_ge_actual,fraction_f1_eq_1,actual_midrank_percentile,mean_row_overlap
Released 24 tissues,Exhaustive 2 test / 2 validation / 20 train allocation,exhaustive,63756,True,0.997242497838326,0.0035546146239081454,0.988888391056947,0.9985626523854648,1.0,0.9295438860656252,0.6901154401154401,0.22087332956898173,0.3098924022837066,0.9928165308564975
"All 144 released OhmNet layers, raw edge thresholds",Held-out first; uniform over valid labeled splits,Monte Carlo,1000000,False,0.9933898171800375,0.006154496051970351,0.9818373888731002,0.9950311779975891,1.0,0.779767,0.305631,0.058615,0.694369,0.9831868435284495
"All 144 released OhmNet layers, raw edge thresholds","Training first, then held-out selection",Monte Carlo,1000000,False,0.9939137200786471,0.005713731840168557,0.9831566661596298,0.9954515993595123,1.0,0.808032,0.334343,0.063522,0.665657,0.9844689313249588
All 144 layers; released test/validation fixed,Random 20 raw-edge-eligible training layers,Monte Carlo,1000000,False,0.994590613508284,0.0037313128389363,0.9877039790153505,0.9955624938011168,0.99837064743042,,0.214277,,0.785723,0.9867106581501364
"107 hierarchy-leaf layers, raw edge thresholds",Held-out first; uniform over valid labeled splits,Monte Carlo,1000000,False,0.9877034498656988,0.009617109727084185,0.9673553556203842,0.9904221892356873,0.997637152671814,0.522705,0.07086,0.002476,0.92914,0.9700932895246744
"107 hierarchy-leaf layers, raw edge thresholds","Training first, conditioned on leaving 4 held-out layers",Monte Carlo,1000000,False,0.9898415976483822,0.008016506734730838,0.9742136001586914,0.9919441342353821,0.9980915307998657,0.617328,0.102483,0.003225,0.897517,0.9750519823977352
