source_name,mapping_strategy,evidence_filter,term_scope,comparison_scope,candidate_GO_terms,comparison_genes,label_columns,exact_matches,agreement_at_least_99_percent,agreement_at_least_95_percent,median_best_agreement,mean_best_agreement,minimum_mismatch_genes,mean_mismatch_genes
GOA human GAF v159 direct BP annotations,all_names_union,experimental_plus_IBA_ISS_IC,all_bp,all_4268_resolved_genes,6748,4268,121,0,0,0,0.8163074039362699,0.7580262882725182,278,1032.7438016528927
GOA human GAF v159 direct BP annotations,all_names_union,experimental_plus_IBA_ISS_IC,msigdb_v52_c5bp_terms,all_4268_resolved_genes,2826,4268,121,0,0,0,0.8163074039362699,0.7575809212513651,278,1034.6446280991736
GOA human GAF v159 direct BP annotations,all_names_union,experimental_plus_IBA_ISS_IC,all_bp,mapping_covered_genes_only,6748,4267,121,0,0,0,0.8162643543473166,0.7579695801141569,278,1032.7438016528927
GOA human GAF v159 direct BP annotations,all_names_union,experimental_plus_IBA_ISS_IC,msigdb_v52_c5bp_terms,mapping_covered_genes_only,2826,4267,121,0,0,0,0.8162643543473166,0.7575241087182626,278,1034.6446280991736
GOA human GAF v159 direct BP annotations,fallback_synonym_union,all_except_IEA_ND_NAS,all_bp,mapping_covered_genes_only,7126,4253,121,0,0,0,0.816129790735951,0.7590733230602413,281,1024.6611570247933
GOA human GAF v159 direct BP annotations,fallback_synonym_union,all_except_IEA_ND_NAS,msigdb_v52_c5bp_terms,mapping_covered_genes_only,2980,4253,121,0,0,0,0.816129790735951,0.7584670422239624,281,1027.2396694214876
GOA human GAF v159 direct BP annotations,fallback_synonym_union,exclude_IEA,all_bp,mapping_covered_genes_only,7213,4253,121,0,0,0,0.816129790735951,0.758976162669812,283,1025.0743801652893
GOA human GAF v159 direct BP annotations,fallback_synonym_union,exclude_IEA,msigdb_v52_c5bp_terms,mapping_covered_genes_only,3003,4253,121,0,0,0,0.816129790735951,0.7584029163662791,283,1027.5123966942149
GOA human GAF v159 direct BP annotations,fallback_synonym_union,exclude_IEA_ND,all_bp,mapping_covered_genes_only,7212,4253,121,0,0,0,0.816129790735951,0.758976162669812,283,1025.0743801652893
GOA human GAF v159 direct BP annotations,fallback_synonym_union,exclude_IEA_ND,msigdb_v52_c5bp_terms,mapping_covered_genes_only,3003,4253,121,0,0,0,0.816129790735951,0.7584029163662791,283,1027.5123966942149
