K,metric,n_heldout_sets,mean_difference,median_difference,q05,q95,fraction_optimized_lower
25,mean_wup,1062,-0.029827177909559705,-0.030369180356235356,-0.0433403607287707,-0.013879344508793356,1.0
25,row_overlap,1062,-0.003493667803781598,-0.0013207253301015798,-0.016267582962612773,0.0028797507524315463,0.667608286252354
25,unique_overlap,1062,-0.006995149939882662,-0.003635382881917504,-0.031230364410169936,0.006874301620037027,0.6666666666666666
25,lookup_micro_f1,1062,-0.0013402897784128632,-0.0004312599212746848,-0.006531262501631018,0.001327878862726467,0.6290018832391714
25,training_node_total,1062,-12.466440677966157,-7.700000000000728,-51.46400000000322,9.937999999998981,0.7457627118644068
25,training_edge_total,1062,137.52207156308967,103.35999999998603,-252.7259999999718,708.502000000042,0.3135593220338983
50,mean_wup,1062,-0.02986327640751978,-0.030572970750825018,-0.04354334210275249,-0.014233396483270978,1.0
50,row_overlap,1062,-0.0035563460726308863,-0.0013249086598809967,-0.01641081497189705,0.0027980028235110622,0.6789077212806026
50,unique_overlap,1062,-0.007165538123458453,-0.003613640174293331,-0.031229621608450803,0.006746415492908224,0.6760828625235404
50,lookup_micro_f1,1062,-0.0013638871562546187,-0.0004486844151930791,-0.006499942207480664,0.0012642595983191505,0.6365348399246704
50,training_node_total,1062,-21.250037664783456,-13.409999999999854,-73.95699999999924,11.421000000002069,0.8022598870056498
50,training_edge_total,1062,198.20700564971605,172.0800000000163,-325.4769999999902,860.3790000000151,0.2862523540489642
100,mean_wup,1062,-0.029979929474427007,-0.030710021014742378,-0.04348130971007182,-0.014422751172336512,1.0
100,row_overlap,1062,-0.003721802112163765,-0.0013667889702096425,-0.016496246042658407,0.002670357647730398,0.687382297551789
100,unique_overlap,1062,-0.007511364440819971,-0.0035509265064295747,-0.0320640571396906,0.006836219701906603,0.6826741996233522
100,lookup_micro_f1,1062,-0.0014291050768704668,-0.0004425080292155825,-0.006562215284535988,0.0011981492880328121,0.6440677966101694
100,training_node_total,1062,-36.184406779660975,-24.49499999999898,-120.74649999999892,14.638999999999577,0.82015065913371
100,training_edge_total,1062,239.7647269303217,254.65499999996973,-660.0634999999893,1167.298499999957,0.2947269303201507
200,mean_wup,1062,-0.03006139530129669,-0.030768817021042574,-0.04365995451621844,-0.014594754697433225,1.0
200,row_overlap,1062,-0.0040280811967160195,-0.001422198033222577,-0.018147305204498136,0.0025821440018873225,0.6949152542372882
200,unique_overlap,1062,-0.008134915513642874,-0.0037440113489166094,-0.03470791545378058,0.006384440601260043,0.6949152542372882
200,lookup_micro_f1,1062,-0.0015535717542649818,-0.00047320406266038173,-0.007094182726372372,0.0011252845193753568,0.6581920903954802
200,training_node_total,1062,-61.90816854990592,-43.58499999999913,-205.65525000000017,22.070749999998164,0.844632768361582
200,training_edge_total,1062,109.79321092278688,262.445000000007,-2046.9792500000096,1555.1500000000403,0.3860640301318267
