universe,metric,n_heldout_sets,mean_difference,median_difference,q05,q95,fraction_optimized_lower,fraction_optimized_higher
all144,mean_wup,26830,-0.03699850206393278,-0.037364387649235484,-0.05314090504598001,-0.020221405945112108,1.0,0.0
all144,max_wup,26830,-0.04631353894736058,-0.032432436459773284,-0.1261111201513711,-5.960464455334602e-09,0.9957137532612746,0.0
all144,row_overlap,26830,-0.002939001529983275,-0.0023728626458795476,-0.012079348401082596,0.0050106761089014394,0.6568393589265747,0.34316064107342525
all144,unique_overlap,26830,-0.0068976823190887975,-0.0058943076564876296,-0.02814049293497406,0.012084663251902975,0.6644427879239657,0.3355572120760343
all144,lookup_micro_f1,26830,-0.0011818798975033271,-0.0009046158137139826,-0.005011199774577068,0.0018591237712728798,0.679388743943347,0.320611256056653
all144,training_node_total,26830,-549.6197363997702,-526.7861990950223,-1414.6787499999984,313.2925236406623,0.8090570257174804,0.19094297428251958
all144,training_edge_total,26830,-9534.729341421897,-10095.914285714272,-25339.03705357141,6362.428205128223,0.7988073052553112,0.2011926947446888
all144,spearman_delta_wup_vs_delta_f1,26830,0.4847673729774058,0.0,,,,
leaf107,mean_wup,1062,-0.030583355765534885,-0.03141512312822338,-0.044706396095271314,-0.01470089743059325,1.0,0.0
leaf107,max_wup,1062,-0.03534681001244194,-0.047569557453403244,-0.08328034457206192,-9.934440770020814e-09,0.9642184557438794,0.0
leaf107,row_overlap,1062,-0.005530190340589901,-0.00166060700832521,-0.023410989466003212,0.0026586364633239675,0.6958568738229756,0.3041431261770245
leaf107,unique_overlap,1062,-0.011404540360009655,-0.004527729590325935,-0.04770030407824206,0.005652975815576371,0.696798493408663,0.3032015065913371
leaf107,lookup_micro_f1,1062,-0.0021578852838494743,-0.0006555169791183091,-0.009889764120391458,0.0014347558376021025,0.6516007532956686,0.3483992467043315
leaf107,training_node_total,1062,-306.8201671329544,-292.87957510448905,-838.1612577118082,148.75102913477565,0.8389830508474576,0.16101694915254236
leaf107,training_edge_total,1062,-4092.641826394997,-3857.687127875106,-13455.132073347473,4405.402100190397,0.7674199623352166,0.23258003766478344
leaf107,spearman_delta_wup_vs_delta_f1,1062,0.27915175275502524,1.8389467453162982e-20,,,,
