universe,method,heldout_indices,heldout_tissues,training_indices,training_tissues,objective_primary,objective_secondary,objective_tertiary,mean_wup,max_wup,mean_heldout_best_wup,mean_distance,min_distance,mean_heldout_nearest_distance,ancestor_descendant_pairs,train_branch_count,heldout_branch_count,training_node_total,training_edge_total,heldout_node_total,heldout_edge_total,training_internal_layers,heldout_internal_layers,total_rows,unseen_rows,row_overlap,unique_genes,unseen_unique,unique_overlap,total_positive_labels,false_negative_labels,positive_coverage,lookup_micro_f1,role_pair_A,role_pair_B,role_A_mean_wup,role_B_mean_wup,role_A_lookup_f1,role_B_lookup_f1,role_A_row_overlap,role_B_row_overlap,any_role_lookup_f1_min,any_role_lookup_f1_max,any_role_row_overlap_min,any_role_row_overlap_max,best_tie_count
all144,ancestor_blocked_mean_wup,26|27|48|125,cerebellum|cerebral_cortex|forebrain|temporal_lobe,12|73|78|83|88|94|95|100|103|104|105|114|115|126|128|134|138|139|140|143,blood_platelet|macrophage|megakaryocyte|myometrium|neutrophil|ovary|oviduct|placenta|prostate_gland|renal_glomerulus|renal_tubule|spermatid|spermatocyte|testis|thymocyte|umbilical_cord|uterine_cervix|uterine_endometrium|uterus|vermiform_appendix,151289028,2227680,-888,0.154348335488,0.181818181818,0.161297036297,11.1,9,10.5,0,4,1,39197,521390,10464,155941,5,2,10464,280,0.973241590214,2740,100,0.963503649635,379783,5907,0.984446381223,0.992162237829,cerebellum|cerebral_cortex,forebrain|temporal_lobe,0.15342719780219782,0.15526947317388495,0.9920618507500676,0.9922628043549282,0.9741873804971319,0.9722965227359572,0.991011633401351,0.993325080835352,0.9691638289822172,0.977404403244496,5
all144,ancestor_blocked_mean_wup,26|27|68|125,cerebellum|cerebral_cortex|liver|temporal_lobe,12|73|78|83|88|94|95|100|103|104|105|114|115|126|128|134|138|139|140|143,blood_platelet|macrophage|megakaryocyte|myometrium|neutrophil|ovary|oviduct|placenta|prostate_gland|renal_glomerulus|renal_tubule|spermatid|spermatocyte|testis|thymocyte|umbilical_cord|uterine_cervix|uterine_endometrium|uterus|vermiform_appendix,151289028,2227680,-888,0.154348335488,0.181818181818,0.161297036297,11.1,9,10.5,0,4,2,39197,521390,10980,164679,5,3,10980,318,0.971038251366,3386,209,0.938275251034,396746,7764,0.980430804595,0.990118717928,cerebellum|cerebral_cortex,liver|temporal_lobe,0.15342719780219782,0.15526947317388495,0.9920618507500676,0.9883249053999148,0.9741873804971319,0.9681739130434782,0.9871937151368243,0.993325080835352,0.9653567735263702,0.977404403244496,5
all144,ancestor_blocked_mean_wup,26|27|96|125,cerebellum|cerebral_cortex|pancreas|temporal_lobe,12|73|78|83|88|94|95|100|103|104|105|114|115|126|128|134|138|139|140|143,blood_platelet|macrophage|megakaryocyte|myometrium|neutrophil|ovary|oviduct|placenta|prostate_gland|renal_glomerulus|renal_tubule|spermatid|spermatocyte|testis|thymocyte|umbilical_cord|uterine_cervix|uterine_endometrium|uterus|vermiform_appendix,151289028,2227680,-888,0.154348335488,0.181818181818,0.161297036297,11.1,9,10.5,0,4,2,39197,521390,10843,163672,5,2,10843,268,0.975283593102,3267,154,0.952861952862,392998,5783,0.985284912391,0.992587921503,cerebellum|cerebral_cortex,pancreas|temporal_lobe,0.15342719780219782,0.15526947317388495,0.9920618507500676,0.9930802114889826,0.9741873804971319,0.9763050062355246,0.9919062995680564,0.993325080835352,0.9730354391371341,0.977404403244496,5
all144,ancestor_blocked_mean_wup,26|27|124|125,cerebellum|cerebral_cortex|telencephalon|temporal_lobe,12|73|78|83|88|94|95|100|103|104|105|114|115|126|128|134|138|139|140|143,blood_platelet|macrophage|megakaryocyte|myometrium|neutrophil|ovary|oviduct|placenta|prostate_gland|renal_glomerulus|renal_tubule|spermatid|spermatocyte|testis|thymocyte|umbilical_cord|uterine_cervix|uterine_endometrium|uterus|vermiform_appendix,151289028,2227680,-888,0.154348335488,0.181818181818,0.161297036297,11.1,9,10.5,0,4,1,39197,521390,10434,155335,5,3,10434,276,0.973548016101,2731,96,0.964848041011,378630,5816,0.984639357684,0.992260234961,cerebellum|cerebral_cortex,telencephalon|temporal_lobe,0.15342719780219782,0.15526947317388495,0.9920618507500676,0.9924601499420217,0.9741873804971319,0.9729054573405073,0.9912003993542357,0.993325080835352,0.9697488584474886,0.977404403244496,5
all144,branch_distinct_mean_wup,31|47|68|125,colon|fetus|liver|temporal_lobe,4|12|73|78|83|88|94|95|100|103|104|105|114|115|126|128|134|138|139|140,aorta|blood_platelet|macrophage|megakaryocyte|myometrium|neutrophil|ovary|oviduct|placenta|prostate_gland|renal_glomerulus|renal_tubule|spermatid|spermatocyte|testis|thymocyte|umbilical_cord|uterine_cervix|uterine_endometrium|uterus,161766978,2450448,-824,0.16503816649,0.2,0.188461538462,10.3,8,8.75,0,4,4,39159,521550,12034,184247,5,1,12034,386,0.967924214725,3819,315,0.917517674784,430950,9713,0.977461422439,0.988602266873,colon|fetus,liver|temporal_lobe,0.17407758907758908,0.15599874390315568,0.9888713818466248,0.9883100480717454,0.9678548695098663,0.968,0.9843578711105911,0.9936177239364793,0.9579390115667719,0.9802864050585829,2
all144,branch_distinct_mean_wup,31|47|96|125,colon|fetus|pancreas|temporal_lobe,4|12|73|78|83|88|94|95|100|103|104|105|114|115|126|128|134|138|139|140,aorta|blood_platelet|macrophage|megakaryocyte|myometrium|neutrophil|ovary|oviduct|placenta|prostate_gland|renal_glomerulus|renal_tubule|spermatid|spermatocyte|testis|thymocyte|umbilical_cord|uterine_cervix|uterine_endometrium|uterus,161766978,2450448,-824,0.16503816649,0.2,0.188461538462,10.3,8,8.75,0,4,4,39159,521550,11897,183240,5,0,11897,335,0.97184164075,3758,277,0.926290580096,427202,7709,0.981954672497,0.990895186578,colon|fetus,pancreas|temporal_lobe,0.17407758907758908,0.15599874390315568,0.9888713818466248,0.9931226802691384,0.9678548695098663,0.9763050062355246,0.9885634600795471,0.9936177239364793,0.9639490656523896,0.9802864050585829,2
all144,branch_distinct_minimax_wup,31|47|55|68,colon|fetus|hematopoietic_stem_cell|liver,26|27|33|49|58|77|79|83|90|94|95|100|103|104|114|125|128|134|138|139,cerebellum|cerebral_cortex|corpus_callosum|frontal_lobe|hypophysis|medulla_oblongata|midbrain|myometrium|occipital_lobe|ovary|oviduct|placenta|prostate_gland|renal_glomerulus|spermatid|temporal_lobe|thymocyte|umbilical_cord|uterine_cervix|uterine_endometrium,2227680,163510080,-804,0.166816516817,0.181818181818,0.181818181818,10.05,9,9.0,0,3,4,41157,559009,12097,184385,5,1,12097,543,0.955112837894,3899,447,0.885355219287,434352,16662,0.961639407669,0.980444625969,colon|fetus,hematopoietic_stem_cell|liver,0.16681651681651682,0.16681651681651682,0.9871590788496233,0.9731768179274173,0.967377466581795,0.9418544641321177,0.9731768179274173,0.9871590788496233,0.9418544641321177,0.967377466581795,2
all144,branch_distinct_minimax_wup,31|47|55|96,colon|fetus|hematopoietic_stem_cell|pancreas,26|27|33|49|58|77|79|83|90|94|95|100|103|104|114|125|128|134|138|139,cerebellum|cerebral_cortex|corpus_callosum|frontal_lobe|hypophysis|medulla_oblongata|midbrain|myometrium|occipital_lobe|ovary|oviduct|placenta|prostate_gland|renal_glomerulus|spermatid|temporal_lobe|thymocyte|umbilical_cord|uterine_cervix|uterine_endometrium,2227680,163510080,-804,0.166816516817,0.181818181818,0.181818181818,10.05,9,9.0,0,3,4,41157,559009,11960,183378,5,0,11960,458,0.961705685619,3846,389,0.898855954238,430604,13702,0.96817958031,0.983832562837,colon|fetus,hematopoietic_stem_cell|pancreas,0.16681651681651682,0.16681651681651682,0.9871590788496233,0.9801915353722582,0.967377466581795,0.9554263565891473,0.9785023826369723,0.989240921581865,0.9494271685761048,0.9745299145299146,2
all144,branch_distinct_coverall_mean_wup,31|47|68|125,colon|fetus|liver|temporal_lobe,0|3|4|12|28|32|45|53|70|75|78|82|83|104|107|114|128|134|138|139,adipose_tissue|amygdala|aorta|blood_platelet|chondrocyte|cornea|esophagus|hair_follicle|lung|mammary_gland|megakaryocyte|muscle|myometrium|renal_glomerulus|salivary_gland|spermatid|thymocyte|umbilical_cord|uterine_cervix|uterine_endometrium,184594782,3063060,-728,0.188327585405,0.25,0.232954545455,9.1,6,6.75,0,14,4,36263,464640,12034,184247,1,1,12034,537,0.955376433439,3819,421,0.889761717727,430950,14968,0.965267432417,0.982326798373,colon|fetus,liver|temporal_lobe,0.2001129426129426,0.17654222819663995,0.9790097098869683,0.9859023617101667,0.946053469127944,0.9655652173913043,0.9744416564029306,0.991573055325393,0.9366080817184919,0.97861260926167,2
all144,branch_distinct_coverall_mean_wup,31|47|96|125,colon|fetus|pancreas|temporal_lobe,0|3|4|12|28|32|45|53|70|75|78|82|83|104|107|114|128|134|138|139,adipose_tissue|amygdala|aorta|blood_platelet|chondrocyte|cornea|esophagus|hair_follicle|lung|mammary_gland|megakaryocyte|muscle|myometrium|renal_glomerulus|salivary_gland|spermatid|thymocyte|umbilical_cord|uterine_cervix|uterine_endometrium,184594782,3063060,-728,0.188327585405,0.25,0.232954545455,9.1,6,6.75,0,14,4,36263,464640,11897,183240,1,0,11897,493,0.95856098176,3758,380,0.898882384247,427202,13487,0.968429454918,0.983961556253,colon|fetus,pancreas|temporal_lobe,0.2001129426129426,0.17654222819663995,0.9790097098869683,0.9893792131403911,0.946053469127944,0.9725636914306075,0.9773839714827885,0.991573055325393,0.9420245398773006,0.97861260926167,2
