universe,method,metric,n,mean,sd,q0,q0.01,q0.05,q0.1,q0.25,q0.5,q0.75,q0.9,q0.95,q0.99,q1
all144,conditional_minimax_wup,heldout_branch_count,58905,3.3479161361514302,0.6706812725191458,1.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
all144,conditional_minimax_wup,training_node_total,58905,40500.618809948224,1495.8665334315979,36955.0,38159.0,38405.0,38945.0,39197.0,40597.0,41281.0,42832.0,42948.0,43740.0,44302.0
all144,conditional_minimax_wup,training_edge_total,58905,543429.5079534844,25522.369926511572,478760.0,505438.0,508662.0,516892.0,520857.0,544148.0,559009.0,583552.0,587250.0,602054.0,611688.0
all144,conditional_minimax_wup,heldout_node_total,58905,11575.0,648.9467609494542,9817.0,10212.0,10539.0,10740.0,11112.0,11556.0,12016.0,12435.0,12680.0,13123.96,14042.0
all144,conditional_minimax_wup,heldout_edge_total,58905,178038.33333333334,12141.317222704858,143094.0,151800.0,158421.4,162286.0,169413.0,177821.0,186366.0,194047.6,198468.8,206390.8,220449.0
all144,conditional_minimax_wup,training_internal_layers,58905,4.771343688990748,0.47236599915282806,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0
all144,conditional_minimax_wup,heldout_internal_layers,58905,2.3333333333333335,0.9428170444769445,0.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0
all144,conditional_minimax_wup,row_overlap,58905,0.9546196745646824,0.030078636026118433,0.815429093122,0.86242276812048,0.8835242403286,0.9026851052785999,0.948013693177,0.963398917433,0.975093733262,0.9814666637642,0.984291841198,0.98862252846712,0.995855312735
all144,conditional_minimax_wup,unique_overlap,58905,0.9031446230166197,0.04976014017164352,0.706808819966,0.7729238046222,0.7953919483844,0.8145644333606,0.885625965997,0.914221218962,0.938612099644,0.955671806167,0.9615170945064,0.97127712938572,0.988102320048
all144,conditional_minimax_wup,positive_coverage,58905,0.9640570969273268,0.02715497478596456,0.837377359015,0.8803573777142,0.8983093653554001,0.9156829655872,0.959749785247,0.973346406927,0.98197032775,0.9863363821822,0.9882526497674,0.9915477835940001,0.997403443772
all144,conditional_minimax_wup,lookup_micro_f1,58905,0.9815003379100987,0.014418803620462042,0.911491975131,0.936372402553,0.9464309471884,0.9559859141982,0.979461554196,0.986493201103,0.990903157329,0.9931211964198,0.9940916209846,0.9957559560071599,0.998700034169
all144,ancestor_blocked_mean_wup,mean_wup,58905,0.19761242797990322,0.013424321252940673,0.154348335488,0.169248529249,0.176839271839,0.181014783827,0.188140089078,0.19673035298,0.206112221112,0.215318015318,0.221068931069,0.231111041736,0.25581043956
all144,ancestor_blocked_mean_wup,max_wup,58905,0.29287597565913326,0.06497848880118172,0.181818181818,0.2,0.222222222222,0.222222222222,0.25,0.25,0.333333333333,0.4,0.4,0.4,0.533333333333
all144,ancestor_blocked_mean_wup,mean_heldout_best_wup,58905,0.23545269100090135,0.033789985859457305,0.161297036297,0.182178932179,0.19227994228,0.198863636364,0.208964646465,0.227933177933,0.257478632479,0.283928571429,0.296428571429,0.324837662338,0.415873015873
all144,ancestor_blocked_mean_wup,mean_distance,58905,8.493059587471352,0.6335932668748504,6.375,7.125,7.45,7.675,8.05,8.5,8.95,9.3,9.55,10.05,11.1
all144,ancestor_blocked_mean_wup,min_distance,58905,6.084305237246414,0.7354147952612412,4.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,8.0,9.0
