universe,null,block,start,end,metric,mean
all144,uniform,16,800000,850000,f1,0.9933103044521808
all144,uniform,16,800000,850000,role_min_f1,0.9910112505948544
all144,uniform,16,800000,850000,train_nodes,44336.82266
all144,uniform,16,800000,850000,train_edges,617005.20478
all144,uniform,17,850000,900000,mean_wup,0.27691521343082187
all144,uniform,17,850000,900000,row_overlap,0.9827715664505958
all144,uniform,17,850000,900000,f1,0.993257082169056
all144,uniform,17,850000,900000,role_min_f1,0.9909295382547378
all144,uniform,17,850000,900000,train_nodes,44326.24906
all144,uniform,17,850000,900000,train_edges,616816.03492
all144,uniform,18,900000,950000,mean_wup,0.27690999614059925
all144,uniform,18,900000,950000,row_overlap,0.9828438624703885
all144,uniform,18,900000,950000,f1,0.9932874274909497
all144,uniform,18,900000,950000,role_min_f1,0.9909763549101352
all144,uniform,18,900000,950000,train_nodes,44321.07498
all144,uniform,18,900000,950000,train_edges,616715.4638
all144,uniform,19,950000,1000000,mean_wup,0.27687208700060845
all144,uniform,19,950000,1000000,row_overlap,0.9827843426740169
all144,uniform,19,950000,1000000,f1,0.9932664242410659
all144,uniform,19,950000,1000000,role_min_f1,0.9909536776697636
all144,uniform,19,950000,1000000,train_nodes,44316.68042
all144,uniform,19,950000,1000000,train_edges,616644.92138
all144,matched_stratified,0,0,50000,mean_wup,0.24784994970589877
all144,matched_stratified,0,0,50000,row_overlap,0.9795942312228679
all144,matched_stratified,0,0,50000,f1,0.9920565549635887
all144,matched_stratified,0,0,50000,role_min_f1,0.9897007086932659
all144,matched_stratified,0,0,50000,train_nodes,44819.49332
all144,matched_stratified,0,0,50000,train_edges,627338.74584
all144,matched_stratified,1,50000,100000,mean_wup,0.2477181995409727
all144,matched_stratified,1,50000,100000,row_overlap,0.9796251328194141
all144,matched_stratified,1,50000,100000,f1,0.9920689536631108
all144,matched_stratified,1,50000,100000,role_min_f1,0.9897076593720913
all144,matched_stratified,1,50000,100000,train_nodes,44818.36688
all144,matched_stratified,1,50000,100000,train_edges,627303.72774
all144,matched_stratified,2,100000,150000,mean_wup,0.24784261768877505
all144,matched_stratified,2,100000,150000,row_overlap,0.9796237189495564
all144,matched_stratified,2,100000,150000,f1,0.9920691600871087
all144,matched_stratified,2,100000,150000,role_min_f1,0.9897129660916328
all144,matched_stratified,2,100000,150000,train_nodes,44825.52052
all144,matched_stratified,2,100000,150000,train_edges,627403.6524
all144,matched_stratified,3,150000,200000,mean_wup,0.24775049803763627
all144,matched_stratified,3,150000,200000,row_overlap,0.9796678001773358
all144,matched_stratified,3,150000,200000,f1,0.9920836852860451
all144,matched_stratified,3,150000,200000,role_min_f1,0.9897215306270123
all144,matched_stratified,3,150000,200000,train_nodes,44821.83486
all144,matched_stratified,3,150000,200000,train_edges,627340.89336
all144,matched_stratified,4,200000,250000,mean_wup,0.24771426584511996
all144,matched_stratified,4,200000,250000,row_overlap,0.9796261417925358
all144,matched_stratified,4,200000,250000,f1,0.9920689012646675
all144,matched_stratified,4,200000,250000,role_min_f1,0.9897111149227619
all144,matched_stratified,4,200000,250000,train_nodes,44821.78486
all144,matched_stratified,4,200000,250000,train_edges,627379.29646
all144,matched_stratified,5,250000,300000,mean_wup,0.2476892440584302
all144,matched_stratified,5,250000,300000,row_overlap,0.9797807892477512
all144,matched_stratified,5,250000,300000,f1,0.992127959895134
all144,matched_stratified,5,250000,300000,role_min_f1,0.9897864063537121
all144,matched_stratified,5,250000,300000,train_nodes,44826.69344
all144,matched_stratified,5,250000,300000,train_edges,627413.3613
all144,matched_stratified,6,300000,350000,mean_wup,0.2477355500936508
all144,matched_stratified,6,300000,350000,row_overlap,0.9796980756485463
all144,matched_stratified,6,300000,350000,f1,0.9921007012498378
all144,matched_stratified,6,300000,350000,role_min_f1,0.9897608944702149
all144,matched_stratified,6,300000,350000,train_nodes,44819.54288
all144,matched_stratified,6,300000,350000,train_edges,627323.99742
all144,matched_stratified,7,350000,400000,mean_wup,0.24784470274478196
all144,matched_stratified,7,350000,400000,row_overlap,0.9796145868217945
all144,matched_stratified,7,350000,400000,f1,0.9920668869245053
all144,matched_stratified,7,350000,400000,role_min_f1,0.989696311981678
all144,matched_stratified,7,350000,400000,train_nodes,44827.562
all144,matched_stratified,7,350000,400000,train_edges,627413.44206
all144,matched_stratified,8,400000,450000,mean_wup,0.2478052692615986
all144,matched_stratified,8,400000,450000,row_overlap,0.9796323609161377
all144,matched_stratified,8,400000,450000,f1,0.9920687968611718
all144,matched_stratified,8,400000,450000,role_min_f1,0.9897057823216915
all144,matched_stratified,8,400000,450000,train_nodes,44822.54376
all144,matched_stratified,8,400000,450000,train_edges,627355.9538
all144,matched_stratified,9,450000,500000,mean_wup,0.2478130157890916
all144,matched_stratified,9,450000,500000,row_overlap,0.9796681902050972
all144,matched_stratified,9,450000,500000,f1,0.9920911215746403
all144,matched_stratified,9,450000,500000,role_min_f1,0.9897334737586975
all144,matched_stratified,9,450000,500000,train_nodes,44818.79638
all144,matched_stratified,9,450000,500000,train_edges,627275.63516
all144,matched_stratified,10,500000,550000,mean_wup,0.24770034405380487
all144,matched_stratified,10,500000,550000,row_overlap,0.9796465897762775
all144,matched_stratified,10,500000,550000,f1,0.9920799166357517
all144,matched_stratified,10,500000,550000,role_min_f1,0.9897189094042778
all144,matched_stratified,10,500000,550000,train_nodes,44823.04618
all144,matched_stratified,10,500000,550000,train_edges,627398.98762
all144,matched_stratified,11,550000,600000,mean_wup,0.24773950088679791
all144,matched_stratified,11,550000,600000,row_overlap,0.979634546289444
all144,matched_stratified,11,550000,600000,f1,0.9920830198657513
