source_type,version,label_column,observed_positive_genes,best_name,best_go_id,best_collection,best_subcollection,best_source_member,best_candidate_positive_genes,mismatch_genes,agreement,true_positives,false_positives,false_negatives,f1,jaccard,tie_count,tied_names,best_go_in_greene_table6,best_go_in_greene_table9
MSigDB 5.1 all collections,5.1,17,610,TRANSPORT,GO:0006810,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,363,523,0.877460168697282,225,138,385,0.4624871531346352,0.30080213903743314,1,TRANSPORT,False,False
MSigDB 5.1 all collections,5.1,18,1117,NABA_MATRISOME,,C2,,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c2.all.v5.1.entrez.gmt,339,1036,0.7572633552014996,210,129,907,0.28846153846153844,0.16853932584269662,1,NABA_MATRISOME,False,False
MSigDB 5.1 all collections,5.1,19,1657,BIOPOLYMER_METABOLIC_PROCESS,GO:0043283,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,914,1359,0.6815838800374883,606,308,1051,0.47141190198366395,0.3083969465648855,1,BIOPOLYMER_METABOLIC_PROCESS,False,False
MSigDB 5.1 all collections,5.1,20,692,KEGG_SPLICEOSOME,,C2,,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c2.all.v5.1.entrez.gmt,48,676,0.8416119962511714,32,16,660,0.08648648648648649,0.04519774011299435,1,KEGG_SPLICEOSOME,False,False
MSigDB 5.1 all collections,5.1,21,2534,SIGNAL_TRANSDUCTION,GO:0007165,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,909,1941,0.5452202436738519,751,158,1783,0.43624745861167585,0.2789747399702823,1,SIGNAL_TRANSDUCTION,False,False
MSigDB 5.1 all collections,5.1,22,893,TRANSCRIPTION,GO:0006350,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,417,668,0.8434864104967198,321,96,572,0.4900763358778626,0.32457027300303337,1,TRANSCRIPTION,False,False
MSigDB 5.1 all collections,5.1,23,1227,ORGANELLE_ORGANIZATION_AND_BIOGENESIS,GO:0006996,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,311,1048,0.7544517338331771,245,66,982,0.31859557867360205,0.18948182521268367,1,ORGANELLE_ORGANIZATION_AND_BIOGENESIS,False,False
MSigDB 5.1 all collections,5.1,24,597,NUCLEOLUS,,C5,,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.all.v5.1.entrez.gmt,38,565,0.8676194939081537,35,3,562,0.11023622047244094,0.058333333333333334,1,NUCLEOLUS,False,False
MSigDB 5.1 all collections,5.1,25,2437,CYTOPLASM,,C5,,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.all.v5.1.entrez.gmt,934,1953,0.5424086223055296,709,225,1728,0.4206466923761495,0.26634109691960933,1,CYTOPLASM,False,False
MSigDB 5.1 all collections,5.1,26,2603,CYTOPLASM,,C5,,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.all.v5.1.entrez.gmt,934,2053,0.5189784442361762,742,192,1861,0.4195646027707096,0.26547406082289804,1,CYTOPLASM,False,False
MSigDB 5.1 all collections,5.1,27,1208,NUCLEUS,,C5,,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.all.v5.1.entrez.gmt,720,850,0.8008434864104967,539,181,669,0.5591286307053942,0.3880489560835133,1,NUCLEUS,False,False
MSigDB 5.1 all collections,5.1,28,2816,BIOPOLYMER_METABOLIC_PROCESS,GO:0043283,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,914,2276,0.46672914714151825,727,187,2089,0.3898123324396783,0.24209124209124208,1,BIOPOLYMER_METABOLIC_PROCESS,False,False
MSigDB 5.1 all collections,5.1,29,721,POSITIVE_REGULATION_OF_CELLULAR_METABOLIC_PROCESS,GO:0031325,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,174,619,0.854967197750703,138,36,583,0.30837988826815643,0.18229854689564068,1,POSITIVE_REGULATION_OF_CELLULAR_METABOLIC_PROCESS,False,False
