source_name,mapping_strategy,evidence_filter,term_scope,comparison_scope,candidate_GO_terms,comparison_genes,label_columns,exact_matches,agreement_at_least_99_percent,agreement_at_least_95_percent,median_best_agreement,mean_best_agreement,minimum_mismatch_genes,mean_mismatch_genes
GOA human GAF v159 direct BP annotations,gp2protein_then_primary_symbol_fallback,all_except_IEA_ND_NAS,all_bp,mapping_covered_genes_only,7099,4267,121,0,0,0,0.8167330677290836,0.7588140389342,280,1029.1404958677685
GOA human GAF v159 direct BP annotations,gp2protein_then_all_names_fallback,all_except_IEA_ND_NAS,all_bp,mapping_covered_genes_only,7126,4267,121,0,0,0,0.8167330677290836,0.7587869232840151,280,1029.2561983471073
GOA human GAF v159 direct BP annotations,gp2protein_then_primary_symbol_fallback,exclude_IEA,all_bp,mapping_covered_genes_only,7185,4267,121,0,0,0,0.8167330677290836,0.7587133236620848,282,1029.5702479338843
GOA human GAF v159 direct BP annotations,gp2protein_then_primary_symbol_fallback,exclude_IEA_ND,all_bp,mapping_covered_genes_only,7184,4267,121,0,0,0,0.8167330677290836,0.7587133236620848,282,1029.5702479338843
GOA human GAF v159 direct BP annotations,gp2protein_then_all_names_fallback,exclude_IEA,all_bp,mapping_covered_genes_only,7213,4267,121,0,0,0,0.8167330677290836,0.758688144844056,282,1029.6776859504132
GOA human GAF v159 direct BP annotations,gp2protein_then_all_names_fallback,exclude_IEA_ND,all_bp,mapping_covered_genes_only,7212,4267,121,0,0,0,0.8167330677290836,0.758688144844056,282,1029.6776859504132
GOA human GAF v159 direct BP annotations,gp2protein_then_primary_symbol_fallback,all_except_IEA_ND_NAS,msigdb_v52_c5bp_terms,mapping_covered_genes_only,2974,4267,121,0,0,0,0.8167330677290836,0.7582233051266011,280,1031.6611570247933
GOA human GAF v159 direct BP annotations,gp2protein_then_all_names_fallback,all_except_IEA_ND_NAS,msigdb_v52_c5bp_terms,mapping_covered_genes_only,2980,4267,121,0,0,0,0.8167330677290836,0.7581961894764162,280,1031.7768595041323
GOA human GAF v159 direct BP annotations,gp2protein_then_primary_symbol_fallback,exclude_IEA,msigdb_v52_c5bp_terms,mapping_covered_genes_only,2996,4267,121,0,0,0,0.8167330677290836,0.7581555160011388,282,1031.9504132231405
GOA human GAF v159 direct BP annotations,gp2protein_then_primary_symbol_fallback,exclude_IEA_ND,msigdb_v52_c5bp_terms,mapping_covered_genes_only,2996,4267,121,0,0,0,0.8167330677290836,0.7581555160011388,282,1031.9504132231405
GOA human GAF v159 direct BP annotations,gp2protein_then_all_names_fallback,exclude_IEA,msigdb_v52_c5bp_terms,mapping_covered_genes_only,3003,4267,121,0,0,0,0.8167330677290836,0.7581342108474222,282,1032.0413223140497
GOA human GAF v159 direct BP annotations,gp2protein_then_all_names_fallback,exclude_IEA_ND,msigdb_v52_c5bp_terms,mapping_covered_genes_only,3003,4267,121,0,0,0,0.8167330677290836,0.7581342108474222,282,1032.0413223140497
GOA human GAF v159 direct BP annotations,gp2protein_all_graphsage_links,all_except_IEA_ND_NAS,all_bp,mapping_covered_genes_only,7095,4259,121,0,0,0,0.8166236205682085,0.7587141667911802,280,1027.6363636363637
GOA human GAF v159 direct BP annotations,gp2protein_all_graphsage_links,exclude_IEA,all_bp,mapping_covered_genes_only,7181,4259,121,0,0,0,0.8166236205682085,0.758613262337995,282,1028.0661157024792
GOA human GAF v159 direct BP annotations,gp2protein_all_graphsage_links,exclude_IEA_ND,all_bp,mapping_covered_genes_only,7180,4259,121,0,0,0,0.8166236205682085,0.758613262337995,282,1028.0661157024792
GOA human GAF v159 direct BP annotations,gp2protein_all_graphsage_links,all_except_IEA_ND_NAS,msigdb_v52_c5bp_terms,mapping_covered_genes_only,2973,4259,121,0,0,0,0.8166236205682085,0.7581203828935904,280,1030.1652892561983
GOA human GAF v159 direct BP annotations,gp2protein_all_graphsage_links,exclude_IEA,msigdb_v52_c5bp_terms,mapping_covered_genes_only,2995,4259,121,0,0,0,0.8166236205682085,0.7580524664347158,282,1030.4545454545455
GOA human GAF v159 direct BP annotations,gp2protein_all_graphsage_links,exclude_IEA_ND,msigdb_v52_c5bp_terms,mapping_covered_genes_only,2995,4259,121,0,0,0,0.8166236205682085,0.7580524664347158,282,1030.4545454545455
GOA human GAF v159 direct BP annotations,gp2protein_all_graphsage_links,experimental_plus_IBA_ISS_IC,all_bp,all_resolved_genes,6718,4268,121,0,0,0,0.8165417057169635,0.7584155003214388,273,1031.0826446280992
GOA human GAF v159 direct BP annotations,gp2protein_then_primary_symbol_fallback,experimental_plus_IBA_ISS_IC,all_bp,all_resolved_genes,6722,4268,121,0,0,0,0.8165417057169635,0.7584155003214388,273,1031.0826446280992
GOA human GAF v159 direct BP annotations,gp2protein_unique_graphsage_link_only,experimental_plus_IBA_ISS_IC,all_bp,all_resolved_genes,6714,4268,121,0,0,0,0.8165417057169635,0.7584000092946162,273,1031.1487603305786
GOA human GAF v159 direct BP annotations,gp2protein_then_all_names_fallback,experimental_plus_IBA_ISS_IC,all_bp,all_resolved_genes,6748,4268,121,0,0,0,0.8165417057169635,0.7583961365379104,273,1031.1652892561983
GOA human GAF v159 direct BP annotations,gp2protein_unique_full_GeneID_link_only,experimental_plus_IBA_ISS_IC,all_bp,all_resolved_genes,6709,4268,121,0,0,0,0.8165417057169635,0.7581327890819243,275,1032.2892561983472
GOA human GAF v159 direct BP annotations,gp2protein_all_graphsage_links,experimental_plus_IBA_ISS_IC,msigdb_v52_c5bp_terms,all_resolved_genes,2819,4268,121,0,0,0,0.8165417057169635,0.7579662605435802,273,1033
GOA human GAF v159 direct BP annotations,gp2protein_then_primary_symbol_fallback,experimental_plus_IBA_ISS_IC,msigdb_v52_c5bp_terms,all_resolved_genes,2820,4268,121,0,0,0,0.8165417057169635,0.7579662605435802,273,1033
GOA human GAF v159 direct BP annotations,gp2protein_then_all_names_fallback,experimental_plus_IBA_ISS_IC,msigdb_v52_c5bp_terms,all_resolved_genes,2826,4268,121,0,0,0,0.8165417057169635,0.7579468967600518,273,1033.0826446280992
GOA human GAF v159 direct BP annotations,gp2protein_unique_graphsage_link_only,experimental_plus_IBA_ISS_IC,msigdb_v52_c5bp_terms,all_resolved_genes,2818,4268,121,0,0,0,0.8165417057169635,0.7579333421115819,273,1033.1404958677685
GOA human GAF v159 direct BP annotations,gp2protein_unique_full_GeneID_link_only,experimental_plus_IBA_ISS_IC,msigdb_v52_c5bp_terms,all_resolved_genes,2817,4268,121,0,0,0,0.8165417057169635,0.75766612189889,275,1034.280991735537
GOA human GAF v159 direct BP annotations,gp2protein_unique_graphsage_link_only,all_except_IEA_ND_NAS,all_bp,mapping_covered_genes_only,7091,4240,121,0,0,0,0.8165094339622642,0.7593092156556993,278,1020.5289256198347
GOA human GAF v159 direct BP annotations,gp2protein_unique_graphsage_link_only,exclude_IEA,all_bp,mapping_covered_genes_only,7177,4240,121,0,0,0,0.8165094339622642,0.7592078590363325,280,1020.9586776859504
GOA human GAF v159 direct BP annotations,gp2protein_unique_graphsage_link_only,exclude_IEA_ND,all_bp,mapping_covered_genes_only,7176,4240,121,0,0,0,0.8165094339622642,0.7592078590363325,280,1020.9586776859504
GOA human GAF v159 direct BP annotations,gp2protein_then_primary_symbol_fallback,experimental_plus_IBA_ISS_IC,all_bp,mapping_covered_genes_only,6722,4267,121,0,0,0,0.8164987110382002,0.7583588833775254,273,1031.0826446280992
GOA human GAF v159 direct BP annotations,gp2protein_then_all_names_fallback,experimental_plus_IBA_ISS_IC,all_bp,mapping_covered_genes_only,6748,4267,121,0,0,0,0.8164987110382002,0.7583395150559648,273,1031.1652892561983
GOA human GAF v159 direct BP annotations,gp2protein_then_primary_symbol_fallback,experimental_plus_IBA_ISS_IC,msigdb_v52_c5bp_terms,mapping_covered_genes_only,2820,4267,121,0,0,0,0.8164987110382002,0.757909538317319,273,1033
GOA human GAF v159 direct BP annotations,gp2protein_then_all_names_fallback,experimental_plus_IBA_ISS_IC,msigdb_v52_c5bp_terms,mapping_covered_genes_only,2826,4267,121,0,0,0,0.8164987110382002,0.7578901699957583,273,1033.0826446280992
GOA human GAF v159 direct BP annotations,gp2protein_all_graphsage_links,experimental_plus_IBA_ISS_IC,all_bp,mapping_covered_genes_only,6718,4259,121,0,0,0,0.8163888236675276,0.7582562158113397,273,1029.5867768595042
GOA human GAF v159 direct BP annotations,gp2protein_all_graphsage_links,experimental_plus_IBA_ISS_IC,msigdb_v52_c5bp_terms,mapping_covered_genes_only,2819,4259,121,0,0,0,0.8163888236675276,0.7578060267125135,273,1031.504132231405
GOA human GAF v159 direct BP annotations,gp2protein_unique_full_GeneID_link_only,all_except_IEA_ND_NAS,all_bp,all_resolved_genes,7086,4268,121,0,0,0,0.8163074039362699,0.7585975198866057,282,1030.3057851239669
GOA human GAF v159 direct BP annotations,gp2protein_unique_full_GeneID_link_only,exclude_IEA,all_bp,all_resolved_genes,7171,4268,121,0,0,0,0.8163074039362699,0.7585007009689637,284,1030.719008264463
GOA human GAF v159 direct BP annotations,gp2protein_unique_full_GeneID_link_only,exclude_IEA_ND,all_bp,all_resolved_genes,7170,4268,121,0,0,0,0.8163074039362699,0.7585007009689637,284,1030.719008264463
GOA human GAF v159 direct BP annotations,gp2protein_union_all_names_sensitivity,experimental_plus_IBA_ISS_IC,all_bp,all_resolved_genes,6748,4268,121,0,0,0,0.8163074039362699,0.7580262882725182,278,1032.7438016528927
GOA human GAF v159 direct BP annotations,gp2protein_unique_full_GeneID_link_only,all_except_IEA_ND_NAS,msigdb_v52_c5bp_terms,all_resolved_genes,2971,4268,121,0,0,0,0.8163074039362699,0.7579836879487557,282,1032.9256198347107
GOA human GAF v159 direct BP annotations,gp2protein_unique_full_GeneID_link_only,exclude_IEA,msigdb_v52_c5bp_terms,all_resolved_genes,2993,4268,121,0,0,0,0.8163074039362699,0.757919787463112,284,1033.198347107438
GOA human GAF v159 direct BP annotations,gp2protein_unique_full_GeneID_link_only,exclude_IEA_ND,msigdb_v52_c5bp_terms,all_resolved_genes,2993,4268,121,0,0,0,0.8163074039362699,0.757919787463112,284,1033.198347107438
GOA human GAF v159 direct BP annotations,gp2protein_union_all_names_sensitivity,experimental_plus_IBA_ISS_IC,msigdb_v52_c5bp_terms,all_resolved_genes,2826,4268,121,0,0,0,0.8163074039362699,0.7575809212513651,278,1034.6446280991736
GOA human GAF v159 direct BP annotations,gp2protein_unique_graphsage_link_only,experimental_plus_IBA_ISS_IC,all_bp,mapping_covered_genes_only,6714,4240,121,0,0,0,0.8162735849056604,0.7588745516918759,271,1022.3719008264463
GOA human GAF v159 direct BP annotations,gp2protein_union_all_names_sensitivity,experimental_plus_IBA_ISS_IC,all_bp,mapping_covered_genes_only,6748,4267,121,0,0,0,0.8162643543473166,0.7579695801141569,278,1032.7438016528927
GOA human GAF v159 direct BP annotations,gp2protein_union_all_names_sensitivity,experimental_plus_IBA_ISS_IC,msigdb_v52_c5bp_terms,mapping_covered_genes_only,2826,4267,121,0,0,0,0.8162643543473166,0.7575241087182626,278,1034.6446280991736
GOA human GAF v159 direct BP annotations,gp2protein_unique_full_GeneID_link_only,all_except_IEA_ND_NAS,all_bp,mapping_covered_genes_only,7086,4215,121,0,0,0,0.8161328588374852,0.7590443418330833,277,1015.6280991735537
GOA human GAF v159 direct BP annotations,gp2protein_unique_full_GeneID_link_only,exclude_IEA,all_bp,mapping_covered_genes_only,7171,4215,121,0,0,0,0.8161328588374852,0.7589463055008187,279,1016.0413223140496
GOA human GAF v159 direct BP annotations,gp2protein_unique_full_GeneID_link_only,exclude_IEA_ND,all_bp,mapping_covered_genes_only,7170,4215,121,0,0,0,0.8161328588374852,0.7589463055008187,279,1016.0413223140496
GOA human GAF v159 direct BP annotations,gp2protein_union_all_names_sensitivity,all_except_IEA_ND_NAS,all_bp,all_resolved_genes,7126,4268,121,0,0,0,0.8160731021555764,0.7584019456729689,287,1031.1404958677685
GOA human GAF v159 direct BP annotations,gp2protein_union_all_names_sensitivity,exclude_IEA,all_bp,all_resolved_genes,7213,4268,121,0,0,0,0.8160731021555764,0.7582702719449759,289,1031.702479338843
