event_time_utc,release,release_date,archive_url,metalink_url,archive_expected_size,archive_observed_size,archive_expected_md5,archive_observed_md5,archive_sha256,archive_deleted_after_success,archive_path,metalink_path,data_member,swissprot_records_scanned,target_accessions_found,target_accessions_absent,record_dat_path,record_dat_sha256,summary_tsv_path,summary_tsv_sha256,provenance_json_path,script_sha256,status,notes
2026-08-28T21:45:33Z,2016_04,2016-04-13,https://ftp.uniprot.org/pub/databases/uniprot/previous_releases/release-2016_04/knowledgebase/uniprot_sprot-only2016_04.tar.gz,https://ftp.uniprot.org/pub/databases/uniprot/previous_releases/release-2016_04/knowledgebase/RELEASE.metalink,1516525310,1516525310,e607b83de1ac87e6f63b13715c049a3f,e607b83de1ac87e6f63b13715c049a3f,a75cd81a9114141aeb43d31f6a2742d41329d02cbada070015985191dc8ac754,1,2016_04\uniprot_sprot-only2016_04.tar.gz,2016_04\RELEASE_2016_04.metalink,uniprot_sprot.dat.gz,550960,O95073|Q9Y620,,2016_04\O95073_Q9Y620_2016_04.dat,2abb3f223e2f51d634b21002d0dcad004339d5eb6f6ec3843e2edfef1aa015a5,2016_04\O95073_Q9Y620_2016_04.tsv,95652bad82c4587f1ef95c5f4a8aab994999a5c05230b0fc0f9b6231d147fb48,2016_04\O95073_Q9Y620_2016_04_provenance.json,f4c26105da8660492f36156f693680c1a242fcba96a9b6e4f41e9618a27d6022,success,provenance_json_sha256=289558ffc69346d6ea44ca722f5d1a8775f197d7a7e05fb0125d3cda24e3648a; archive deletion=True
2026-08-28T21:48:27Z,2016_05,2016-05-11,https://ftp.uniprot.org/pub/databases/uniprot/previous_releases/release-2016_05/knowledgebase/uniprot_sprot-only2016_05.tar.gz,https://ftp.uniprot.org/pub/databases/uniprot/previous_releases/release-2016_05/knowledgebase/RELEASE.metalink,1504161063,1504161063,fe9525832026b03ab34f0971b43c0c81,fe9525832026b03ab34f0971b43c0c81,f68bc63f9705e97ddfe2cb8c9dfad7a3e717cf5e49b050ec35c8b10a0bf45421,1,2016_05\uniprot_sprot-only2016_05.tar.gz,2016_05\RELEASE_2016_05.metalink,uniprot_sprot.dat.gz,551193,O95073|Q9Y620,,2016_05\O95073_Q9Y620_2016_05.dat,f893a80ede1b4982b618a277a3686279ca958b02c2879e64ddac42e63ae481e2,2016_05\O95073_Q9Y620_2016_05.tsv,144b8831d8cab943157d6123b4f121ef400882997ccf6a22db95deac388f5f0e,2016_05\O95073_Q9Y620_2016_05_provenance.json,f4c26105da8660492f36156f693680c1a242fcba96a9b6e4f41e9618a27d6022,success,provenance_json_sha256=09f57af9d5105d90b04f27ccb54870aad7726811990e41415662c756c5e02656; archive deletion=True
2026-08-28T21:51:21Z,2016_06,2016-06-08,https://ftp.uniprot.org/pub/databases/uniprot/previous_releases/release-2016_06/knowledgebase/uniprot_sprot-only2016_06.tar.gz,https://ftp.uniprot.org/pub/databases/uniprot/previous_releases/release-2016_06/knowledgebase/RELEASE.metalink,1504963399,1504963399,e3a5ac5a166efc95e9ad06465d5bd2c4,e3a5ac5a166efc95e9ad06465d5bd2c4,ad6c96bc6d433ed99ef8722d7bf003003ada43c3ab57c005d0343910a515d484,1,2016_06\uniprot_sprot-only2016_06.tar.gz,2016_06\RELEASE_2016_06.metalink,uniprot_sprot.dat.gz,551385,O95073|Q9Y620,,2016_06\O95073_Q9Y620_2016_06.dat,c9ef724cb42304f4b9271fb41d6ac92e6ec590a39605dc38527b8f85fc65385f,2016_06\O95073_Q9Y620_2016_06.tsv,422aeb8a5a146a458c0f7fc9e0f93ea1a1a75822d7249b84bc52cd19f955c91f,2016_06\O95073_Q9Y620_2016_06_provenance.json,f4c26105da8660492f36156f693680c1a242fcba96a9b6e4f41e9618a27d6022,success,provenance_json_sha256=06072c2ad206f57eb1d252b3ab90bc19452474050d1543993c135dbd81f8c965; archive deletion=True
